tag,description,qty,unit,sheet_id,table_title,bbox_px
CV-VAV-M121-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,"566.4,1445.52,776.88,1479.84"
CV-VAV-M122-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,"566.4,1479.84,776.88,1514.4"
CV-VAV-M123-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,"566.4,1514.4,776.88,1548.96"
CV-VAV-M124-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,"566.4,1548.96,776.88,1583.28"
CV-VAV-M125-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,"566.4,1583.28,776.88,1617.84"
DOAH-T1-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#49,HHW CONTROL VALVE SCHEDULE,"2910.48,1722.72,3095.04,1757.28"
FCU-T2-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#49,HHW CONTROL VALVE SCHEDULE,"2910.48,1757.28,3095.04,1791.6"
FCU-T3-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#49,HHW CONTROL VALVE SCHEDULE,"2910.48,1791.6,3095.04,1826.16"
FCU-T4-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#49,HHW CONTROL VALVE SCHEDULE,"2910.48,1826.16,3095.04,1860.72"
FCU-T6-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#49,HHW CONTROL VALVE SCHEDULE,"2910.48,1860.72,3095.04,1895.04"
FCU-T7A-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#49,HHW CONTROL VALVE SCHEDULE,"2910.48,1895.04,3095.04,1929.6"
FCU-T7B-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#49,HHW CONTROL VALVE SCHEDULE,"2910.48,1929.6,3095.04,1964.16"
FCU-T8-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#49,HHW CONTROL VALVE SCHEDULE,"2910.48,1964.16,3095.04,1998.48"
FCU-T9-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#49,HHW CONTROL VALVE SCHEDULE,"2910.48,1998.48,3095.04,2033.04"
FCU-T10-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#49,HHW CONTROL VALVE SCHEDULE,"2910.48,2033.04,3095.04,2067.6"
FCU-T11-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#49,HHW CONTROL VALVE SCHEDULE,"2910.48,2067.6,3095.04,2102.16"
FCU-T12-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#49,HHW CONTROL VALVE SCHEDULE,"2910.48,2102.16,3095.04,2136.48"
FCU-T13-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#49,HHW CONTROL VALVE SCHEDULE,"2910.48,2136.48,3095.04,2171.04"
FCU-T14-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#49,HHW CONTROL VALVE SCHEDULE,"2910.48,2171.04,3095.04,2205.6"
FCU-T15-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#49,HHW CONTROL VALVE SCHEDULE,"2910.48,2205.6,3095.04,2239.92"
FCU-T16-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#49,HHW CONTROL VALVE SCHEDULE,"2910.48,2239.92,3095.04,2274.48"
HHW-BP-T,,1,EA,navfac-cherry-point-atc-mechanical.pdf#49,HHW CONTROL VALVE SCHEDULE,"2910.48,1688.16,3095.04,1722.72"
HHWC-DOAH-T1HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#49,HHW CONTROL VALVE SCHEDULE,"2910.48,2274.48,3095.04,2338.08"
